,Object Number,Is Highlight,Is Public Domain,Object ID,Department,Title,Culture,Artist Display Name,Artist Display Bio,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,Country,Classification,Link Resource,Metadata Date,Repository
12,33.120.221,True,True,2059,American Decorative Arts,Chocolate Pot,American,Edward Winslow,1669–1753,Edward Winslow,American,1669,1753,1700–1710,1700,1710,Silver,"Overall: 9 1/8 x 6 3/4 x 5 13/16 in. (23.2 x 17.1 x 14.8 cm); 23 oz. (715.4 g)
Foot: Diam. 3 15/16 in. (10 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/2059,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
13,10.125.689,False,True,2043,American Decorative Arts,Chest with Drawers,American,Peter Blin,ca. 1675–1725,Peter Blin,American,1672,1725,1675–1705,1675,1705,"Oak, pine, maple",39 1/4 x 47 1/2 x 22 in. (99.7 x 120.7 x 55.9 cm),"Gift of Mrs. Russell Sage, 1909",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/2043,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
14,66.190.1,False,True,2019,American Decorative Arts,Chest with drawers,American,Peter Blin,ca. 1675–1725,Peter Blin,American,1672,1725,1675–1700,1675,1700,"White oak, yellow pine, white cedar",39 7/8 x 48 x 21 1/4 in. (101.3 x 121.9 x 54 cm),"Gift of Mrs. J. Woodhull Overton, 1966",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/2019,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
15,"64.83a, b",False,True,1224,American Decorative Arts,Candlestick,American,Cornelius Kierstede,1674–ca. 1757,Cornelius Kierstede,American,1674,1760,ca. 1705,1702,1708,Silver,"Overall: 11 3/4 x 6 7/16 x 6 7/16 in. (29.8 x 16.4 x 16.4 cm); 26 oz. 2 dwt. (811.9 g)
Candlestick (without bobeche): H. 11 1/4 in. (28.6 cm); 22 oz. 18 dwt. (712.9 g)
Bobeche: 2 3/16 x 2 13/16 x 2 3/4 in. (5.6 x 7.1 x 7 cm); 3 oz. 4 dwt. (99 g)","Gift of Mrs. Clermont L. Barnwell, 1964",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1224,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16,38.63,True,True,802,American Decorative Arts,Two-handled Bowl,American,Cornelius Kierstede,1674–ca. 1757,Cornelius Kierstede,American,1674,1760,1700–1710,1700,1710,Silver,"Overall: 5 3/8 x 13 13/16 in. (13.7 x 35.1 cm); 25 oz. 19 dwt. (806.9 g)
Lip: Diam. 9 11/16 in. (24.6 cm)
Foot: Diam. 4 13/16 in. (12.2 cm)","Samuel D. Lee Fund, 1938",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/802,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
17,"57.153a, b",False,True,1223,American Decorative Arts,Candlestick,American,Cornelius Kierstede,1674–ca. 1757,Cornelius Kierstede,American,1674,1760,ca. 1705,1702,1708,Silver,"Overall: 11 7/16 x 6 1/2 x 6 1/2 in. (29.1 x 16.5 x 16.5 cm); 25 6 oz. (808.3 g)
Without bobeche: H. 10 15/16 in. (27.8 cm); 22 oz. 17 dwt. (710.9 g)
Bobeche: 2 1/4 x 2 13/16 x 2 13/16 in. (5.7 x 7.1 x 7.1 cm); 3 oz. 3 dwt. (97.4 g)","Gift of Robert L. Cammann, 1957",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1223,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
18,33.120.622,False,False,416,American Decorative Arts,Beaker,American,Benjamin Wynkoop,baptized 1675–1751,Benjamin Wynkoop,American,1675,1751,1711,1711,1711,Silver,"Overall: H. 7 1/4 in. (18.4 cm); 11 oz. 16 dwt. (367.5 g)
Lip: Diam. 4 1/2 in. (11.4 cm)
Base: Diam. 3 7/16 in. (8.7 cm)","Jointly owned by The Metropolitan Museum of Art and The Reformed Protestant Dutch Church, Kingston, N. Y., 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/416,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
19,35.68.1,False,True,1537,American Decorative Arts,Chafing Dish,American,Peter Van Dyck,1684–1750,Peter Van Dyck,American,1684,1750,ca. 1725,1715,1730,Silver,"Overall: 3 13/16 x 10 1/8 in. (9.7 x 25.7 cm); 12 oz. 2 dwt. (376.7 g)
Lip: W. 5 1/16 in. (12.9 cm)
At knops: W. 5 1/2 in. (14 cm)
At feet: W. 4 1/4 in. (10.8 cm)","Dodge Fund, 1935",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1537,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
20,62.89.13,False,True,335,American Decorative Arts,Basin,American,William Bradford Jr.,1688–1758,William Bradford Jr.,American,1688,1758,1719–58,1719,1758,Pewter,H. 1 5/8 in. (4.1 cm); Diam. 5 1/2 in. (14 cm),"Gift of Mrs. Stephen S. FitzGerald, 1962",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/335,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
21,"Inst.67.17.4a, b",False,False,1361,American Decorative Arts,Candlestick,British,Ebenezer Cocker,active ca. 1739,Ebenezer Cocker,British,1689,1789,1764–66,1764,1766,Silver,H. 10 3/8 in. (26.4 cm),"Gift of John C. Cattus, 1967",Made in,England,Silver,http://www.metmuseum.org/art/collection/search/1361,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
22,"66.101a, b",False,True,1471,American Decorative Arts,Caster,American,Charles Le Roux,baptized 1689–1745,Charles Le Roux,American,1689,1745,ca. 1730,1727,1730,Silver,"Overall: 6 15/16 x 2 5/8 in. (17.6 x 6.7 cm); 8 oz. 16 dwt. (273.1 g)
Foot: Diam. 2 5/16 in. (5.9 cm)
Body: H. 4 in. (10.2 cm); 6 oz. 2 dwt. (189.5 g)
Cover: H. 3 1/2 in. (8.9 cm); 2 oz. 14 dwt. (83.6 g)","Purchase, Mr. and Mrs. Marshall P. Blankarn Gift, 1966",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1471,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
23,"Inst.67.17.2a, b",False,False,1359,American Decorative Arts,Candlestick,British,Ebenezer Cocker,active ca. 1739,Ebenezer Cocker,British,1689,1789,1764–66,1764,1766,Silver,H. 10 3/8 in. (26.4 cm),"Gift of John C. Cattus, 1967",Made in,England,Silver,http://www.metmuseum.org/art/collection/search/1359,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
24,"Inst.67.17.3a, b",False,False,1360,American Decorative Arts,Candlestick,British,Ebenezer Cocker,active ca. 1739,Ebenezer Cocker,British,1689,1789,1764–66,1764,1766,Silver,H. 10 3/8 in. (26.4 cm),"Gift of John C. Cattus, 1967",Made in,England,Silver,http://www.metmuseum.org/art/collection/search/1360,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
25,"Inst.67.17.1a, b",False,True,1358,American Decorative Arts,Candlestick,British,Ebenezer Cocker,active ca. 1739,Ebenezer Cocker,British,1689,1789,1764–66,1764,1766,Silver,H. 10 3/8 in. (26.4 cm),"Gift of John C. Cattus, 1967",Made in,England,Silver,http://www.metmuseum.org/art/collection/search/1358,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
26,40.184.2,False,True,351,American Decorative Arts,Basin,American,Joseph Leddel Sr.|Joseph Leddel Jr.,ca. 1690–1754|1718–1754,Joseph Leddel Sr.|Joseph Leddel Jr.,American,1690,1754,1712–54,1712,1754,Pewter,2 3/4 x 12 7/8 x 12 7/8 in. (7 x 32.7 x 32.7 cm),"Gift of Mrs. J. Insley Blair, in memory of her husband, 1940",Made in,United States,Metal,http://www.metmuseum.org/art/collection/search/351,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
27,33.120.147,False,True,1535,American Decorative Arts,Chafing Dish,American,John Burt,1692/93–1745/46,John Burt,American,1692,1746,1740–45,1740,1745,Silver,"Overall: 4 11/16 x 12 1/2 x 7 1/8 in. (11.9 x 31.8 x 18.1 cm); 18 oz. 4 dwt. (566.3 g)
Dish: Diam. 6 7/16 in. (16.4 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1535,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
28,33.120.112,False,True,398,American Decorative Arts,Beaker,American,George Hanners Sr.,ca. 1696–1740,George Hanners Sr.,American,1693,1740,1720–40,1720,1740,Silver,"Overall: H. 5 15/16 in. (15.1 cm); 10 oz. 3 dwt. (315.5 g)
Lip: Diam. 4 1/4 in. (10.8 cm)
Base: Diam. 3 1/2 in. (8.9 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/398,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
29,28.131.2,False,True,422,American Decorative Arts,Beaker,American,Moody Russell,1694–1761,Moody Russell,American,1694,1761,ca. 1719,1716,1719,Silver,"Overall: H. 4 1/16 in. (10.3 cm); 5 oz. 11 dwt. (172.1 g)
Lip: Diam. 3 9/16 in. (9 cm)
Base: Diam. 2 11/16 in. (6.8 cm)","The Sylmaris Collection, Gift of George Coe Graves, 1928",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/422,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
30,"33.120.215a, b",False,True,1475,American Decorative Arts,Pepper Box,American,Moody Russell,1694–1761,Moody Russell,American,1694,1761,1720–35,1720,1740,Silver,"Overall: 3 9/16 x 2 5/16 in. (9 x 5.9 cm); 2 oz. 16 dwt. (86.5 g)
Base: Diam. 1 3/4 in. (4.4 cm)
Body: 3 1/4 in. (8.3 cm); 2 oz. 6 dwt. (72 g)
Cover: H. 7/8 in. (2.2 cm); 9 dwt. (14.5 g)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Prints,http://www.metmuseum.org/art/collection/search/1475,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
31,28.131.1,False,True,421,American Decorative Arts,Beaker,American,Moody Russell,1694–1761,Moody Russell,American,1694,1761,ca. 1719,1716,1719,Silver,"Overall: H. 4 1/16 in. (10.3 cm); 5 oz. 13 dwt. (175.3 g)
Lip: Diam. 3 9/16 in. (9 cm)
Base: Diam. 2 5/8 in. (6.7 cm)","The Sylmaris Collection, Gift of George Coe Graves, 1928",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/421,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
32,"43.38a, b",False,True,1470,American Decorative Arts,Pepper Caster,American,William Jones,1694/95–1730,William Jones,American,1694,1730,1720–30,1720,1730,Silver,"Overall: 3 3/4 x 3 1/8 in. (9.5 x 7.9 cm); 3 oz. 10 dwt. (108.4 g)
Lip: Diam. 1 11/16 in. (4.3 cm)
Base: Diam. 2 3/8 in. (6 cm)
Body: H. 2 3/4 in. (7 cm); 2 oz. 15 dwt. (85.3 g)
Cover: H. 1 1/4 in. (3.2 cm); 15 dwt. (23.1 g)","Rogers Fund, 1943",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1470,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
33,33.120.120,False,True,407,American Decorative Arts,Beaker,American,Moody Russell,1694–1761,Moody Russell,American,1694,1761,ca. 1715,1711,1720,Silver,"Overall: H. 4 15/16 in. (12.6 cm); 6 oz. 2 dwt. (189.2 g)
Lip: Diam. 3 11/16 in. (9.4 cm)
Base: Diam. 2 15/16 in. (7.5 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/407,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
34,33.120.119,False,True,406,American Decorative Arts,Beaker,American,Joseph Russell,1702–1780,Joseph Russell,American,1702,1780,ca. 1730,1727,1730,Silver,"Overall: H. 4 1/2 in. (11.4 cm); 6 oz. 8 dwt. (199.4 g)
Lip: Diam. 4 1/16 in. (10.3 cm)
Base: Diam. 3 5/16 in. (8.4 cm)","Bequest of Alphonso T. Clearwater, 1933",Possibly made in|Possibly made in,United States|United States,Silver,http://www.metmuseum.org/art/collection/search/406,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
35,"48.152a, b",False,True,1472,American Decorative Arts,Caster,American,Knight Leverett,1702/03–1753,Knight Leverett,American,1702,1753,ca. 1735,1730,1740,Silver,"Overall: 4 7/8 x 2 11/16 in. (12.4 x 6.8 cm); 5 oz. 4 dwt. (162.1 g)
Foot: Diam. 2 1/4 in. (5.7 cm)
Lip: Diam. 1 3/4 in. (4.4 cm)
Body: H. 3 3/8 in. (8.6 cm); 4 oz. 4 dwt. (131.3 g)
Cover: H. 1 7/8 in. (4.8 cm); 1 oz. (30.8 g)","Rogers Fund, 1948",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1472,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
36,33.120.202,False,True,1315,American Decorative Arts,Candlestick,American,Jacob Hurd,"American, Boston, Massachusetts 1702/3–1758 Boston, Massachusetts",Jacob Hurd,American,1702,1758,ca. 1740–50,1735,1750,Silver,6 1/16 x 3 15/16 in. (15.4 x 10 cm); 9 oz. 6 dwt. (289.7 g),"Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1315,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
37,33.120.203,False,True,1316,American Decorative Arts,Candlestick,American,Jacob Hurd,"American, Boston, Massachusetts 1702/3–1758 Boston, Massachusetts",Jacob Hurd,American,1702,1758,1740–50,1740,1750,Silver,6 1/8 x 4 in. (15.6 x 10.2 cm): 8 oz. 17 dwt. (274.6 g),"Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1316,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
38,"33.120.211a, b",False,True,1468,American Decorative Arts,Caster,American,Jacob Hurd,"American, Boston, Massachusetts 1702/3–1758 Boston, Massachusetts",Jacob Hurd,American,1702,1758,1740–50,1740,1750,Silver,"Overall: 5 1/4 x 1 7/8 in. (13.3 x 4.8 cm); 3 oz. 18 dwt. (120.9 g)
Body: H. 3 in. (7.6 cm); 2 oz. 11 dwt. (80 g)
Cover: 2 9/16 in. (6.5 cm); 1 oz. 6 dwt. (40.9 g)
Foot: Diam. 1 3/4 in. (4.4 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1468,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
39,44.25.2,False,True,822,American Decorative Arts,Sugar Bowl,American,Philip Syng Jr.,1703–1789,Philip Syng Jr.,American,1703,1789,ca. 1760,1757,1760,Silver,"Overall: 2 7/8 x 4 5/16 in. (7.3 x 11 cm); 6 oz. 3 dwt. (191.5 g)
Foot: Diam. 2 3/4 in. (7 cm)","Gift of Mrs. Henry M. Post, 1944",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/822,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
40,33.120.104,False,True,378,American Decorative Arts,Beaker,American,Adrian Bancker,1703–1772,Adrian Bancker,American,1703,1772,1730–70,1730,1770,Silver,"Overall: H. 7 in. (17.8 cm); 13 oz. 5 dwt. (412 g)
Lip: Diam. 4 3/4 in. (12.1 cm)
Base: Diam. 3 3/16 in. (8.1 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/378,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
41,48.15,False,True,781,American Decorative Arts,Punch Bowl,American,Adrian Bancker,1703–1772,Adrian Bancker,American,1703,1772,ca. 1750,1747,1750,Silver,"Overall: 4 x 8 9/16 in. (10.2 x 21.7 cm); 25 oz. 5 dwt. (785.8 g)
Foot: Diam. 4 3/16 in. (10.6 cm)","Bequest of Emily Burrall Hatton, 1942",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/781,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
42,"1972.233.3a, b",False,True,1481,American Decorative Arts,Caster,American,Adrian Bancker,1703–1772,Adrian Bancker,American,1703,1772,ca. 1735,1730,1737,Silver,"Overall: 5 5/8 x 1 15/16 in. (14.3 x 4.9 cm); 4 oz. 13 dwt. (144.6 g)
Foot: Diam. 1 13/16 in. (4.6 cm)
Body: H. 3 3/16 in. (8.1 cm); 3 oz. (93.4 g)
Cover: H. 2 7/8 in. (7.3 cm); 1 oz. 13 dwt. (51.2 g)","Sansbury-Mills Fund, 1972",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1481,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
43,"1972.233.2a, b",False,True,1480,American Decorative Arts,Caster,American,Adrian Bancker,1703–1772,Adrian Bancker,American,1703,1772,ca. 1735,1730,1737,Silver,"Overall: 5 1/2 x 1 15/16 in. (14 x 4.9 cm); 4 oz. 7 dwt. (135.2 g)
Foot: Diam. 1 13/16 in. (4.6 cm)
Body: H. 3 1/16 in. (7.8 cm); 2 oz. 16 dwt. (86.3 g)
Cover: H. 2 7/8 in. (7.3 cm); 1 oz. 11 dwt. (48.9 g)","Sansbury-Mills Fund, 1972",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1480,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
44,"1972.233.1a, b",False,True,1479,American Decorative Arts,Caster,American,Adrian Bancker,1703–1772,Adrian Bancker,American,1703,1772,ca. 1735,1730,1737,Silver,"Overall: 6 7/8 x 2 1/2 in. (17.5 x 6.4 cm); 8 oz. (248.2 g)
Foot: Diam. 2 5/16 in. (5.9 cm)
Body: H. 3 7/8 in. (9.8 cm); 5 oz. 7 dwt. (165.8 g)
Cover: H. 3 3/8 in. (8.6 cm); 2 oz. 13 dwt. (82.4 g)","Sansbury-Mills Fund, 1972",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1479,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
45,52.77.55,False,True,203,American Decorative Arts,Splat-back armchair,American,John Gaines III,"American, 1704–1743",John Gaines III,American,1704,1743,1735–43,1735,1743,"Soft maple, poplar, ash",40 5/8 x 27 x 17 in. (103.2 x 68.6 x 43.2 cm),"Bequest of Mrs. J. Insley Blair, 1951",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/203,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
46,"33.120.209a, b",False,True,1465,American Decorative Arts,Caster,American,Samuel Edwards,1705–1762,Samuel Edwards,American,1705,1762,1740–60,1740,1760,Silver,"Overall: 5 3/16 x 1 3/4 in. (13.2 x 4.4 cm); 2 oz. 11 dwt. (78.6 g)
Foot : Diam. 2 in. (5.1 cm)
Body: H. 2 7/8 in. (7.3 cm); 1 oz. 19 dwt. (59.9 g)
Cover: H. 2 11/16 in. (6.8 cm); 16 dwt. (24.7 g)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1465,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
47,33.120.229,False,True,1486,American Decorative Arts,Two-handled Cup,American,Joseph Goldthwait,1706–1780,Joseph Goldthwait,American,1706,1780,1730–45,1725,1750,Silver,"Overall: 3 x 6 1/2 in. (7.6 x 16.5 cm); 4 oz. 10 dwt. (140.6 g)
Lip: Diam. 4 1/16 in. (10.3 cm)
Foot: Diam. 2 3/4 in. (7 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,United States,Silver,http://www.metmuseum.org/art/collection/search/1486,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
48,45.78.5,False,True,2038,American Decorative Arts,Chest with drawer,American,Robert Crosman,1707–1799,Robert Crosman,American,1707,1799,1735,1735,1735,"Painted white pine, white cedar",32 3/4 x 37 1/2 x 18 in. (83.2 x 95.3 x 45.7 cm),"Gift of Mrs. J. Insley Blair, 1945",Made in,United States,Furniture,http://www.metmuseum.org/art/collection/search/2038,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
49,48.133,False,True,2074,American Decorative Arts,Clasp,American,Joseph Richardson Sr.,1711–1784,Joseph Richardson Sr.,American,1711,1784,ca. 1750,1747,1750,Gold,7/8 x 1/2 in. (2.2 x 1.3 cm),"Gift of Arthur J. Sussel, 1948",Made in,United States,Jewelry,http://www.metmuseum.org/art/collection/search/2074,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
