Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
16.74.27,FALSE,FALSE,16,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,Artist,,Mexican Artist,,,"Mexican, Artist",,,,1800–1900,1800,1900,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/16,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.28,FALSE,FALSE,17,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,Artist,,Mexican Artist,,,"Mexican, Artist",,,,1867,1867,1867,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/17,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.29,FALSE,FALSE,18,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,Artist,,Mexican Artist,,,"Mexican, Artist",,,,1860,1860,1860,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/18,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.30,FALSE,FALSE,19,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,,,,,,,,,,1859,1859,1859,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/19,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.31,FALSE,FALSE,20,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,,,,,,,,,,1860,1860,1860,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/20,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.32,FALSE,FALSE,21,American Paintings and Sculpture,Peso,"Coin, 1/4 Peso",,,,,,,,,,,,,,,1859,1859,1859,Bronze or copper,Diam. 1 1/8 in. (2.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/21,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.43,FALSE,FALSE,22,American Paintings and Sculpture,Coin,"Coin, 1/4 Real",,,,,,,,,,,,,,,1881,1881,1881,Silver,Diam. 1/2 in. (1.3 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Guatemala,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/22,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.44,FALSE,FALSE,23,American Paintings and Sculpture,Coin,"Coin, 1/4 Real",,,,,,,,,,,,,,,1878,1878,1878,Silver,Diam. 1/2 in. (1.3 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Guatemala,,,,,,,Silver,,http://www.metmuseum.org/art/collection/search/23,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.33,FALSE,FALSE,24,American Paintings and Sculpture,Centavos,"Coin, 10 Centavos",,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/24,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.34,FALSE,FALSE,25,American Paintings and Sculpture,Centavos,"Coin, 10 Centavos",,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/25,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.35,FALSE,FALSE,26,American Paintings and Sculpture,Centavos,"Coin, 10 Centavos",,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/26,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.36,FALSE,FALSE,27,American Paintings and Sculpture,Centavos,"Coin, 10 Centavos",,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/27,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.38,FALSE,FALSE,28,American Paintings and Sculpture,Centavos,"Coin, 10 Centavos",,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/28,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.39,FALSE,FALSE,29,American Paintings and Sculpture,Centavos,"Coin, 10 Centavos",,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/29,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.37,FALSE,FALSE,30,American Paintings and Sculpture,Centavos,"Coin, 10 Centavos",,,,,,,,,,,,,,,1885,1885,1885,Nickel,Diam. 3/4 in. (1.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/30,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
16.74.40,FALSE,FALSE,31,American Paintings and Sculpture,Centavos,"Coin, 10 Centavos",,,,,,,,,,,,,,,1885,1885,1885,Nickel,Diam. 3/4 in. (1.9 cm),"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/31,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
09.9.15,FALSE,FALSE,32,American Paintings and Sculpture,Pesos,"Coin, 20 Pesos",,,,,,Artist,,Mexican Artist,,,"Mexican, Artist",,,,1866,1866,1866,Gold,Diam. 2 1/8 in. (5.4 cm),"Gift of H. R. Ickelheimer, 1909",Made in,,,,Mexico,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/32,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
64.62,FALSE,TRUE,33,American Decorative Arts,Bust,Bust of Abraham Lincoln,American,,,,,Maker,,James Gillinder and Sons,"American, 1861–ca. 1930",,"Gillinder and Sons, James",American,1861,1930,1876,1876,1876,Pressed glass,2 3/4 x 3 1/2 x 2 3/4 in. (7 x 8.9 x 7 cm),"Gift of Teunis G. B. Cortelyou, 1964",Made in,Philadelphia,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/33,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1970.289.6,FALSE,TRUE,34,American Decorative Arts,Clock,Acorn Clock,American,,,,,Maker,,Forestville Manufacturing Company,1835–1853,,Forestville Manufacturing Company ,,1835,1853,1847–50,1847,1850,"Mahogany, laminated",24 3/8 x 14 5/8 x 5 1/8 in. (61.9 x 37.1 x 13 cm),"Gift of Mrs. Paul Moore, 1970",Made in,Bristol,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/34,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
04.1a–c,FALSE,TRUE,35,American Decorative Arts,Vase,The Adams Vase,American,,,,,Designer|Manufacturer,Designed by|Manufactured by,Paulding Farnham|Tiffany & Co.,1859–1927|1837–present,,"Farnham, Paulding|Tiffany & Co.",,1859      |1837,1927      |9999,1893–95,1893,1895,"Gold, amethysts, spessartites, tourmalines, fresh water pearls, quartzes, rock crystal, and enamel","Overall: 19 7/16 x 13 x 9 1/4 in. (49.4 x 33 x 23.5 cm); 352 oz. 18 dwt. (10977 g)
Body: H. 18 7/8 in. (47.9 cm)
Cover: 4 1/4 x 4 13/16 in. (10.8 x 12.2 cm); 19 oz. 6 dwt. (600.1 g)","Gift of Edward D. Adams, 1904",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/35,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
1976.319,FALSE,TRUE,36,American Decorative Arts,Side Chair,Side Chair,American,,,,,Maker,,Conrad Henninger,active ca. 1888–1932,,"Henninger, Conrad",,1885,1932,ca. 1887,1884,1887,"Oak, tulip poplar",40 x 25 1/2 x 34 1/2 in. (101.6 x 64.8 x 87.6 cm),"Gift of Charlotte Pickman-Gertz, 1976",Made in,Lebanon,,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/36,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
38.165.51,FALSE,TRUE,37,American Decorative Arts,Figure,Figure of Admiral George Rodney,British (American market),,,,,Maker,,Pierre Stephan,"French, active ca. 1770–95",,"Stephan, Pierre",French,1765,1795,ca. 1785,1782,1785,"Earthenware, basalt",H. 12 in. (30.5 cm),"Harris Brisbane Dick Fund, 1938",Made in,,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/37,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
38.165.50,FALSE,TRUE,38,American Decorative Arts,Figure,Figure of Admiral Samuel Hood,British (American market),,,,,Maker,,Pierre Stephan,"French, active ca. 1770–95",,"Stephan, Pierre",French,1765,1795,ca. 1785,1782,1785,"Earthenware, basalt",H. 12 3/8 in. (31.4 cm),"Harris Brisbane Dick Fund, 1938",Made in,,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/38,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
18.11.10,FALSE,TRUE,39,American Decorative Arts,Advertisement,Advertisement for Norwich Stone Ware Factory,American,,,,,,,,,,,,,,1770–1800,1770,1800,Paper,11 x 9 in. (27.9 x 22.9 cm),"Rogers Fund, 1918",Made in,Norwich,,,United States,,,,,,,Natural Substances,,http://www.metmuseum.org/art/collection/search/39,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
46.140.143,FALSE,TRUE,40,American Decorative Arts,Ale glass,Ale Glass,American,,,,,Maker,,New England Glass Company,"American, East Cambridge, Massachusetts, 1818–1888",,New England Glass Company ,,1818,1888,1830–70,1830,1870,Pressed glass,H. 6 9/16 in. (16.7 cm); Diam. 3 in. (7.6 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,East Cambridge,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/40,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
46.140.864,FALSE,TRUE,41,American Decorative Arts,Ale glass,Ale Glass,American,,,,,Maker,,Union Glass Company,"American, Somerville, Massachusetts",,Union Glass Company,American,,,1850–70,1850,1870,Pressed glass,H. 6 1/4 in. (15.9 cm); Diam. 2 15/16 in. (7.5 cm),"Gift of Mrs. Emily Winthrop Miles, 1946",Made in,Somerville,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/41,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
60.58.1,FALSE,TRUE,42,American Decorative Arts,Andiron,Andiron,American,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",30 7/8 x 25 x 13 7/8 in. (78.4 x 63.5 x 35.2 cm),"Sansbury-Mills Fund, 1960",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/42,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
60.58.2,FALSE,TRUE,43,American Decorative Arts,Andiron,Andiron,American,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",30 7/8 x 25 x 13 7/8 in. (78.4 x 63.5 x 35.2 cm),"Sansbury-Mills Fund, 1960",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/43,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.444a,FALSE,TRUE,44,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,ca. 1790,1787,1790,Brass,H. 27 in. (68.6 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/44,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.444b,FALSE,TRUE,45,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,ca. 1790,1787,1790,Brass,H. 27 in. (68.6 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/45,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.445a,FALSE,TRUE,46,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1700–1800,1700,1800,Brass,H. 16 in. (40.6 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/46,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.445b,FALSE,TRUE,47,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1700–1800,1700,1800,Brass,H. 16 in. (40.6 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/47,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.446a,FALSE,FALSE,48,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1770–1800,1770,1800,Iron,H. 17 in. (43.2 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/48,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.446b,FALSE,FALSE,49,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1770–1800,1770,1800,Iron,H. 17 in. (43.2 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/49,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.447a,FALSE,TRUE,50,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1770–1800,1770,1800,Iron,H. 11 1/2 in. (29.2 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/50,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.447b,FALSE,TRUE,51,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1770–1800,1770,1800,Iron,H. 11 1/2 in. (29.2 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/51,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.452a,FALSE,TRUE,52,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1700–1800,1700,1800,Bell metal,H. 16 1/2 in. (41.9 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/52,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.452b,FALSE,TRUE,53,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1700–1800,1700,1800,Bell metal,H. 16 1/2 in. (41.9 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/53,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.454a,FALSE,TRUE,56,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1800–1830,1800,1830,Bell metal,H. 23 in. (58.4 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/56,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.454b,FALSE,TRUE,57,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1800–1830,1800,1830,Bell metal,H. 23 in. (58.4 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/57,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.499a,FALSE,FALSE,58,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1800–1900,1800,1900,Iron,H. 16 in. (40.6 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/58,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
10.125.499b,FALSE,FALSE,59,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1800–1900,1800,1900,Iron,H. 16 in. (40.6 cm),"Gift of Mrs. Russell Sage, 1909",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/59,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
22.120.1,FALSE,TRUE,62,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,ca. 1800,1797,1800,Brass,22 1/2 x 23 in. (57.2 x 58.4 cm),"Rogers Fund, 1922",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/62,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
22.120.2,FALSE,TRUE,63,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,ca. 1800,1797,1800,Brass,22 1/2 x 23 in. (57.2 x 58.4 cm),"Rogers Fund, 1922",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/63,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
23.80.14,FALSE,TRUE,64,American Decorative Arts,Andiron,Andiron,American,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",25 1/4 x 21 1/2 x 13 1/2 in. (64.1 x 54.6 x 34.3 cm),"Gift of Mr. and Mrs. William A. Moore, 1923",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/64,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
23.80.15,FALSE,TRUE,65,American Decorative Arts,Andiron,Andiron,American,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",25 1/4 x 21 1/2 x 13 1/2 in. (64.1 x 54.6 x 34.3 cm),"Gift of Mr. and Mrs. William A. Moore, 1923",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/65,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
30.120.83,FALSE,TRUE,68,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1760–80,1760,1780,"Brass, iron",H. 23 1/2 in. (59.7 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/68,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
30.120.84,FALSE,TRUE,69,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1760–80,1760,1780,"Brass, iron",H. 23 1/2 in. (59.7 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1930",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/69,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
34.90.1,FALSE,TRUE,70,American Decorative Arts,Andiron,Andiron,,,,,,,,,,,,,,,1750–65,1750,1765,"Bell metal, possibly iron",18 1/2 x 22 1/4 x 13 1/2 in. (47 x 56.5 x 34.3 cm),"Rogers Fund, 1934",,,,,,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/70,5/14/2018 8:00:02 AM,"Metropolitan Museum of Art, New York, NY"
